step,action,removed_ids,removed_labels,removed_exkurt,removed_caps,parent_id,rho,cost,n_after,density,val_loss
140,prune,31,last=space,+0.460,2.9751,,,0.74519,116,0.4531,2.7283
141,prune,34,last=vowel,-0.107,2.9852,,,0.74610,115,0.4492,2.7275
142,prune,221,last=space,-0.224,2.9946,,,0.74681,114,0.4453,2.7186
143,merge,55|58,last=newline|last=space,+0.595|+0.017,3.6280|3.1822,263,+0.4119,0.71475,113,0.4414,2.7297
144,prune,263,parent,+nan,2.7546,,,0.68513,112,0.4375,2.7405
145,merge,109|249,last=vowel|distributed,+0.211|-0.225,3.0657|3.2290,264,+0.4404,0.75173,111,0.4336,2.7369
146,prune,264,parent,+nan,2.3219,,,0.57526,110,0.4297,2.7454
147,prune,202,distributed,+0.218,3.0301,,,0.74902,109,0.4258,2.7651
148,merge,167|223,last=space|last=space,-0.110|-0.500,3.2016|3.2104,265,+0.4207,0.74777,108,0.4219,2.7716
149,prune,265,parent,+nan,2.3984,,,0.59060,107,0.4180,2.7822
150,prune,241,distributed,-0.015,3.0492,,,0.74913,106,0.4141,2.7890
151,prune,198,distributed,+0.194,3.0592,,,0.74982,105,0.4102,2.7990
152,merge,11|83,distributed|distributed,-0.400|+0.296,3.7007|3.1392,266,+0.4255,0.74902,104,0.4062,2.8094
153,prune,266,parent,+nan,2.6769,,,0.65408,103,0.4023,2.8231
154,prune,234,last=vowel,-0.194,3.0670,,,0.74758,102,0.3984,2.8266
155,prune,222,last=space,-0.253,3.0744,,,0.74754,101,0.3945,2.8339
156,merge,78|156,last=space|last=space,+0.085|+0.113,3.1790|3.2531,267,+0.4587,0.74828,100,0.3906,2.8318
157,prune,267,parent,+nan,2.3795,,,0.57606,99,0.3867,2.8285
158,merge,23|135,last=space|distributed,-0.784|+0.269,3.4773|3.3709,268,+0.5018,0.74770,98,0.3828,2.8194
159,prune,268,parent,+nan,2.6498,,,0.63928,97,0.3789,2.8043
160,merge,130|168,last=vowel|last=vowel,+0.380|-0.168,3.4969|3.4276,269,+0.4315,0.74947,96,0.3750,2.8094
161,prune,269,parent,+nan,2.6888,,,0.64647,95,0.3711,2.8197
162,merge,69|75,last=space|last=space,-0.299|-0.179,3.2029|3.2834,270,+0.4403,0.74930,94,0.3672,2.8280
163,prune,270,parent,+nan,2.3918,,,0.57237,93,0.3633,2.8350
164,merge,44|255,last=vowel|last=vowel,+0.022|+0.405,3.1451|3.4507,271,+0.3821,0.66036,92,0.3594,2.8323
165,prune,271,parent,+nan,2.6720,,,0.63652,91,0.3555,2.8411
166,merge,37|214,last=space|last=space,+0.183|+0.215,3.5518|3.5175,272,+0.5397,0.74355,90,0.3516,2.8510
167,prune,272,parent,+nan,2.7741,,,0.65853,89,0.3477,2.8558
